channel;V;u_theo;u_real;ca;theta_code;theta_manual;theta_mkt;lamda;kappa_0;zeta
straight;2.50E-05;0.113400285;0.14028772;1.93E-06;96.595;95.11;96.00613553;1.09E-09;60600;45.20466253
straight;0.00011;0.498961253;0.61984658;8.53E-06;104.11;104.595;103.2765827;1.09E-09;60600;24.90196265
straight;0.00025;1.134002849;1.40673705;1.93E-05;109.125;109.78;107.8239601;1.09E-09;60600;14.9251411
straight;0.00067;3.039127634;3.74427435;5.15E-05;111.03;112.05;113.4678758;1.09E-09;60600;7.397458434
straight;0.0011;4.989612534;6.22191937;8.56E-05;114.205;114.61;116.4942778;1.09E-09;60600;5.011385957
straight;0.0018;8.16482051;10.0645837;0.000138433;118.115;117.94;119.4363778;1.09E-09;60600;3.42578298
straight;0.0025;11.34002849;14.1812973;0.000195056;117.55;119.76;121.5869382;1.09E-09;60600;2.597161678
straight;0.0027;12.24723077;14.8260113;0.000203924;122.295;122.28;121.8693577;1.09E-09;60600;2.504792657
straight;0.0031;14.06163532;15.9399306;0.000219245;123.43;123.32;122.3314161;1.09E-09;60600;2.360926762
straight;0.0036;16.32964102;19.3646718;0.000266351;124.64;124.23;123.5846878;1.09E-09;60600;2.01232536
straight;0.004;18.14404558;20.2540709;0.000278584;125.33;125.02;123.8764288;1.09E-09;60600;1.939168175
straight;0.0045;20.41205128;25.2456797;0.000347241;126.34;126.08;125.3225174;1.09E-09;60600;1.615611213
var1;2.50E-05;0.111148655;0.10060664;1.38E-06;90.875;90.125;92.01251551;8.07E-10;606000;12.77232506
var1;0.00011;0.48905408;0.44584229;6.13E-06;94.285;93.805;95.35840265;8.07E-10;606000;12.38862563
var1;0.00025;1.111486547;1.0102791;1.39E-05;95.725;95.235;99.96564847;8.07E-10;606000;11.20356703
var1;0.00067;2.978783945;2.72703545;3.75E-05;101.51;100.365;108.5658719;8.07E-10;606000;8.027231059
var1;0.0011;4.890540805;4.44674096;6.12E-05;111.755;112.26;113.5329606;8.07E-10;606000;6.245897681
var1;0.0018;8.002703135;7.339996375;0.000100958;114.66;115.23;118.9609328;8.07E-10;606000;4.625639377
var1;0.0025;11.11486547;10.07566287;0.000138585;118.05;116.565;122.5719808;8.07E-10;606000;3.760618738
var2;2.50E-05;0.111148655;0.119696049;1.65E-06;89.985;90.385;95.98843617;1.56E-09;11900;52.79465613
var2;0.00011;0.48905408;0.541908806;7.45E-06;92.935;92.715;99.9529172;1.56E-09;11900;20.85740263
var2;0.00025;1.111486547;1.194121085;1.64E-05;94.585;94.415;102.0737532;1.56E-09;11900;11.67853366
var2;0.00067;2.978783945;3.23299776;4.45E-05;95.38;95.805;104.7745717;1.56E-09;11900;5.345015448
var2;0.0011;4.890540805;5.376552745;7.40E-05;97.92;97.665;106.1667191;1.56E-09;11900;3.530839976
var2;0.0018;8.002703135;8.64980273;0.000118973;102.285;101.39;107.4770856;1.56E-09;11900;2.378794772
var2;0.0025;11.11486547;12.28421255;0.000168963;104.28;102.77;108.449822;1.56E-09;11900;1.770633004
var3;0.00011;0.48905408;0.50453624;6.94E-06;90.76;91.02;95.23386017;1.07E-09;285000;10.63538078
var3;0.00025;1.111486547;1.146673272;1.58E-05;92.66;93.19;98.82128462;1.07E-09;285000;8.620942871
var3;0.00067;2.978783945;3.073084368;4.23E-05;96.05;96.085;104.1518288;1.07E-09;285000;5.374039792
var3;0.0011;4.890540805;5.045362395;6.94E-05;103.37;103.44;107.002713;1.07E-09;285000;3.964219407
var3;0.0018;8.002703135;8.256047555;0.000113558;103.97;103.52;109.9006075;1.07E-09;285000;2.845241082
var3;0.0025;11.11486547;11.46673272;0.000157719;106.5;106.76;111.8682497;1.07E-09;285000;2.252100916
