channel-fluid;V;u_theo;u_real;ca;theta_code;theta_manual;lamda;kappa0
straight-glycerin;0.000025;0.113400285;0.124082836;1.65E-05;87.15;86.22;9.47E-10;1.16E+06
straight-glycerin;0.000025;0.113400285;0.11630221;1.65E-05;88.06;85.1;9.47E-10;1.16E+06
straight-glycerin;0.000025;0.113400285;0.12493284;1.65E-05;87.01;86;9.47E-10;1.16E+06
straight-glycerin;0.00011;0.498961253;0.53113724;7.30E-05;89.98;88.14;9.47E-10;1.16E+06
straight-glycerin;0.00011;0.498961253;0.54019397;7.30E-05;90.19;87.67;9.47E-10;1.16E+06
straight-glycerin;0.00011;0.498961253;0.541974326;7.30E-05;88.95;88.65;9.47E-10;1.16E+06
straight-glycerin;0.00025;1.134002849;1.21146648;1.66E-04;89.78;89.19;9.47E-10;1.16E+06
straight-glycerin;0.00025;1.134002849;1.18251609;1.66E-04;90.49;90.49;9.47E-10;1.16E+06
straight-glycerin;0.00025;1.134002849;1.2019463;1.66E-04;90.75;90.12;9.47E-10;1.16E+06
straight-glycerin;0.00067;3.039127634;3.1836793;4.41E-04;89.19;90.36;9.47E-10;1.16E+06
straight-glycerin;0.00067;3.039127634;3.232196216;4.41E-04;90.19;90.38;9.47E-10;1.16E+06
straight-glycerin;0.00067;3.039127634;3.1915463;4.41E-04;91.26;90.49;9.47E-10;1.16E+06
straight-glycerin;0.0011;4.989612534;5.289338065;7.33E-04;94.99;92.73;9.47E-10;1.16E+06
straight-glycerin;0.0011;4.989612534;5.2194321;7.33E-04;96.26;95.64;9.47E-10;1.16E+06
straight-glycerin;0.0011;4.989612534;5.2219832;7.33E-04;95.62;94.17;9.47E-10;1.16E+06
straight-glycerin;0.0018;8.16482051;8.4998326;1.19E-03;98.69;97.37;9.47E-10;1.16E+06
straight-glycerin;0.0018;8.16482051;8.5406402;1.19E-03;99.11;96.99;9.47E-10;1.16E+06
straight-glycerin;0.0018;8.16482051;8.6529413;1.19E-03;98.35;97.29;9.47E-10;1.16E+06
straight-glycerin;0.0025;11.34002849;11.8122796;1.67E-03;100.44;98.19;9.47E-10;1.16E+06
straight-glycerin;0.0025;11.34002849;11.8582124;1.67E-03;102.83;99.17;9.47E-10;1.16E+06
straight-glycerin;0.0025;11.34002849;11.843269;1.67E-03;100.22;99.82;9.47E-10;1.16E+06
straight-glycerin;0.0027;12.24723077;13.54033485;1.75E-03;100.92;100.62;9.47E-10;1.16E+06
