fluid;V;u_theo;u_real;ca;theta_code;theta_manual;theta_mkt;lamda;kappa_0;zeta
glycerin;0.000025;0.113400285;0.14028772;1.65E-05;86.6;85.66;82.97;9.47E-10;1.16E+06;4.133553
glycerin;0.00011;0.498961253;0.61984658;7.30E-05;88.08;87.9;84.62;9.47E-10;1.16E+06;4.083362
glycerin;0.00025;1.134002849;1.40673705;1.66E-04;89.69;89.25;87.11;9.47E-10;1.16E+06;3.895881
glycerin;0.00067;3.039127634;3.74427435;4.41E-04;90.13;90.37;92.46;9.47E-10;1.16E+06;3.162435
glycerin;0.0011;4.989612534;6.22191937;7.33E-04;95.62;94.18;95.99;9.47E-10;1.16E+06;2.576388
glycerin;0.0018;8.16482051;10.0645837;1.19E-03;98.89;97.18;99.57;9.47E-10;1.16E+06;2.010641
glycerin;0.0025;11.34002849;14.1812973;1.67E-03;99.63;98.67;102.19;9.47E-10;1.16E+06;1.643019
glycerin;0.0027;12.24723077;14.8260113;1.75E-03;101.89;101.51;102.53;9.47E-10;1.16E+06;1.598515
glycerin;0.0031;14.06163532;15.9399306;1.88E-03;102.99;103.94;103.1;9.47E-10;1.16E+06;1.527694
glycerin;0.0036;16.32964102;19.3646718;2.28E-03;105.12;105.51;104.62;9.47E-10;1.16E+06;1.348139
glycerin;0.004;18.14404558;20.2540709;2.39E-03;106.37;106.03;104.97;9.47E-10;1.16E+06;1.308965
water;0.000025;0.113400285;0.14028772;1.93E-06;96.595;95.11;96.00613553;1.09E-09;6.06E+04;45.20466253
water;0.00011;0.498961253;0.61984658;8.53E-06;104.11;104.595;103.2765827;1.09E-09;6.06E+04;24.90196265
water;0.00025;1.134002849;1.40673705;1.93E-05;109.125;109.78;107.8239601;1.09E-09;6.06E+04;14.9251411
water;0.00067;3.039127634;3.74427435;5.15E-05;111.03;112.05;113.4678758;1.09E-09;6.06E+04;7.397458434
water;0.0011;4.989612534;6.22191937;8.56E-05;114.205;114.61;116.4942778;1.09E-09;6.06E+04;5.011385957
water;0.0018;8.16482051;10.0645837;0.000138433;118.115;117.94;119.4363778;1.09E-09;6.06E+04;3.42578298
water;0.0025;11.34002849;14.1812973;0.000195056;117.55;119.76;121.5869382;1.09E-09;6.06E+04;2.597161678
water;0.0027;12.24723077;14.8260113;0.000203924;122.295;122.28;121.8693577;1.09E-09;6.06E+04;2.504792657
water;0.0031;14.06163532;15.9399306;0.000219245;123.43;123.32;122.3314161;1.09E-09;6.06E+04;2.360926762
water;0.0036;16.32964102;19.3646718;0.000266351;124.64;124.23;123.5846878;1.09E-09;6.06E+04;2.01232536
water;0.004;18.14404558;20.2540709;0.000278584;125.33;125.02;123.8764288;1.09E-09;6.06E+04;1.939168175
water;0.0045;20.41205128;25.2456797;0.000347241;126.34;126.08;125.3225174;1.09E-09;6.06E+04;1.615611213
