part;V;u_theo;ca;theta_code;theta_manual;lamda;kappa_0
straight;2.50E-05;0.111148655;1.58E-06;89.43;89.69;1.07E-09;2.58E+05
straight;2.50E-05;0.111148655;1.58E-06;89.49;89.18;1.07E-09;2.58E+05
straight;2.50E-05;0.111148655;1.58E-06;88.98;89.18;1.07E-09;2.58E+05
straight;0.00011;0.48905408;6.94E-06;90.36;91.51;1.07E-09;2.58E+05
straight;0.00011;0.48905408;6.94E-06;91.16;90.52;1.07E-09;2.58E+05
straight;0.00011;0.48905408;6.94E-06;90.45;91.02;1.07E-09;2.58E+05
straight;0.00025;1.111486547;1.58E-05;92.11;92.1;1.07E-09;2.58E+05
straight;0.00025;1.111486547;1.58E-05;93.11;94.27;1.07E-09;2.58E+05
straight;0.00025;1.111486547;1.58E-05;92.45;92.49;1.07E-09;2.58E+05
straight;0.00067;2.978783945;4.23E-05;95.88;96.99;1.07E-09;2.58E+05
straight;0.00067;2.978783945;4.23E-05;96.22;95.18;1.07E-09;2.58E+05
straight;0.00067;2.978783945;4.23E-05;95.64;96.01;1.07E-09;2.58E+05
straight;0.0011;4.890540805;6.94E-05;102.02;102.5;1.07E-09;2.58E+05
straight;0.0011;4.890540805;6.94E-05;104.72;104.39;1.07E-09;2.58E+05
straight;0.0011;4.890540805;6.94E-05;102.59;102.96;1.07E-09;2.58E+05
straight;0.0018;8.002703135;0.000113558;103.76;103.33;1.07E-09;2.58E+05
straight;0.0018;8.002703135;0.000113558;104.18;103.7;1.07E-09;2.58E+05
straight;0.0018;8.002703135;0.000113558;103.68;103.6;1.07E-09;2.58E+05
straight;0.0025;11.11486547;0.000157719;107.75;107.25;1.07E-09;2.58E+05
straight;0.0025;11.11486547;0.000157719;105.26;106.27;1.07E-09;2.58E+05
straight;0.0025;11.11486547;0.000157719;107.01;106.52;1.07E-09;2.58E+05
inside1;2.50E-05;0.035677346;5.06E-07;68.81;69.27;1.03E-09;4.24E+05
inside1;2.50E-05;0.035677346;5.06E-07;70.18;71.65;1.03E-09;4.24E+05
inside1;2.50E-05;0.035677346;5.06E-07;70.22;71.01;1.03E-09;4.24E+05
inside1;0.00011;0.156980322;2.23E-06;70.18;69.22;1.03E-09;4.24E+05
inside1;0.00011;0.156980322;2.23E-06;71.57;70.89;1.03E-09;4.24E+05
inside1;0.00011;0.156980322;2.23E-06;71.29;71.66;1.03E-09;4.24E+05
inside1;0.00025;0.35677346;5.06E-06;71.97;69.92;1.03E-09;4.24E+05
inside1;0.00025;0.35677346;5.06E-06;75.07;74.53;1.03E-09;4.24E+05
inside1;0.00025;0.35677346;5.06E-06;72.69;73.29;1.03E-09;4.24E+05
inside1;0.00067;0.956152971;1.36E-05;74.64;76.42;1.03E-09;4.24E+05
inside1;0.00067;0.956152971;1.36E-05;73.83;76.24;1.03E-09;4.24E+05
inside1;0.00067;0.956152971;1.36E-05;75.27;76.33;1.03E-09;4.24E+05
inside1;0.0011;1.56980322;2.23E-05;78.01;78.8;1.03E-09;4.24E+05
inside1;0.0011;1.56980322;2.23E-05;76.64;79.25;1.03E-09;4.24E+05
inside1;0.0011;1.56980322;2.23E-05;77.56;78.98;1.03E-09;4.24E+05
