geometry;width;radius;flow_rate;depth_mean;depth_std;dx_mean;dx_std;dt_mean;dt_std;dt_t_mean;dt_t_std;w_r;dtQ
w0.4_r0.1;0.4;0.1;0.006;1.78E-03;0.037;0.00317066;0.13435;0.06;0;0.13115789;0.00488421;4;0.00036
w0.4_r0.1;0.4;0.1;0.004;1.89E-03;0.017499999;0.00346623;0;0.0875;0.002499999;0.13789145;0.006108549;4;0.00035
w0.4_r0.1;0.4;0.1;0.003;1.90E-03;0.0795;0.00359462;0.2971;0.13;0;0.1426257;0.0026257;4;0.00039
w0.4_r0.1;0.4;0.1;0.002;2.12E-03;0.016499999;0.00357236;0.05239;0.18;0;0.13284147;0.00048853;4;0.00036
w0.4_r0.1;0.4;0.1;0.0004;2.27E-03;0.06549999;0.004070805;0.228395;0.958;0.042;0.139295385;0.0045895;4;0.0003832
w0.4_r0.1;0.4;0.1;0.0002;2.81E-03;0.182499999;0.004312635;0.120915;2.03;0.07;0.140770275;0.003065325;4;0.000406
w0.4_r0.2;0.4;0.2;0.006;2.06E-03;0.032499999;0.00191583;0.1531599;0.07375;0.00374999;0.1620878;0.0082418;2;0.0004425
w0.4_r0.2;0.4;0.2;0.004;1.97E-03;0.015;3.13E-03;0.120914999;0.1075;0.0025;0.156934285;0.003649615;2;0.00043
w0.4_r0.2;0.4;0.2;0.003;1.92E-03;0.027;2.89E-03;0.01343499;0.15;0;0.16902385;0.00142615;2;0.00045
w0.4_r0.2;0.4;0.2;0.002;1.92E-03;0.1684999;3.09E-03;0;0.223333;0.004714;0.165128243;0.00602204;2;0.000446666
w0.4_r0.2;0.4;0.2;0.0004;2.38E-03;0.05649999;3.63E-03;0.08061;1.165;0.035;0.16653395;0.00737905;2;0.000466
w0.4_r0.2;0.4;0.2;0.0002;3.07E-03;0.3249999;3.90E-03;0;2.36;0.1;0.1605965;0.0078965;2;0.000472
w0.3_r0.1;0.3;0.1;0.006;1.55E-03;0.004;2.57E-03;0.094045;0.05125;0.001249999;0.11917317;0.00221411;3;0.0003075
w0.3_r0.1;0.3;0.1;0.004;1.76E-03;0.05499999;3.25E-03;0.02686999;0.0775;0.0025;0.11654135;0.003759399;3;0.00031
w0.3_r0.1;0.3;0.1;0.003;1.63E-03;0.005499999;2.93E-03;0.21496;0.11249999;0.0075;0.12678536;0.00880785;3;0.0003375
w0.3_r0.1;0.3;0.1;0.002;1.70E-03;0.082499999;3.48E-03;0.3358799;0.165;0.005;0.12503587;0.00473512;3;0.00033
w0.3_r0.1;0.3;0.1;0.0004;2.88E-03;0.0535;3.39E-03;0.21496;0.838;0.022;0.11857313;0.00255363;3;0.0003352
w0.3_r0.1;0.3;0.1;0.0002;2.77E-03;0.0319999;3.91E-03;0.36322999;1.71499999;0.085;0.1211814;0.0055786;3;0.000343
w0.3_r0.2;0.3;0.2;0.006;1.63E-03;0.00928559;2.23E-03;0.08061;0.05916666;0.003118047;0.144382333;0.007665768;1.5;0.000355
w0.3_r0.2;0.3;0.2;0.004;1.78E-03;0.0509999;2.90E-03;0.08061;0.1;0;0.150335;0.002335;1.5;0.0004
w0.3_r0.2;0.3;0.2;0.003;1.80E-03;0.0645;2.24E-03;0.0940449;0.135;0;0.15169;0.00085;1.5;0.000405
w0.3_r0.2;0.3;0.2;0.002;1.83E-03;0.0065;2.69E-03;0.0806099;0.2;0.00999999;0.14821099;0.00850499;1.5;0.0004
w0.3_r0.2;0.3;0.2;0.0004;1.99E-03;0.005;2.93E-03;0.08061;1.038;0.022;0.151895;0.002848999;1.5;0.0004152
w0.3_r0.2;0.3;0.2;0.0002;2.42E-03;0.004;3.87E-03;0.40305;2.03;0.07;0.151422;0.00364;1.5;0.000406
